oddscheck_team_name,db_club_id,db_club_name,match_count,avg_confidence,avg_fuzzy_score
Santander,630,Racing Santander,3,88.5,72
Alcorcon,11596,AD Alcorcón,3,88.5,74
Auxerre,290,AJ Auxerre,3,88.5,82
Rio Ave,2425,Rio Ave FC,3,88.5,82
Tirol,2446,WSG Tirol,3,88.58,71
Meizhou Hakka,38929,Meizhou Hakka,3,88.58,100
Plymouth,2262,Plymouth Argyle,3,88.58,70
Wolfsburg,82,VfL Wolfsburg,3,88.58,82
Las Palmas,472,UD Las Palmas,3,88.58,87
Numancia,2296,CD Numancia,3,88.58,84
Montpellier,969,Montpellier HSC,3,88.58,85
Ajaccio,1147,AC Ajaccio,3,88.58,82
Almere City,723,Almere City FC,3,88.58,88
Rizespor,126,Caykur Rizespor,3,88.58,70
Bodrumspor,44006,Bodrum FK,3,88.58,63
Sarmiento Junin,12454,CA Sarmiento (Junin),3,88.67,86
Shijiazhuang,35272,Shijiazhuang Ever Bright,3,88.67,67
Norrkoping,2844,IFK Norrköping,3,88.67,75
Reading,1032,Reading FC,3,88.67,82
Nott'm Forest,703,Nottingham Forest,3,88.67,80
Hoffenheim,533,TSG 1899 Hoffenheim,3,88.67,69
Lazio,398,SS Lazio,3,88.67,77
Instituto,1829,Instituto ACC,3,88.75,82
Mattersburg,856,SV Mattersburg,3,88.75,88
Yanbian,8539,Yanbian Funde,3,88.75,70
Darmstadt,105,SV Darmstadt 98,3,88.75,75
Valencia,1049,Valencia CF,3,88.75,84
Salamanca,1087,UD Salamanca,3,88.75,86
Real Madrid B,6767,Real Madrid Castilla,3,88.75,73
Haugesund,2761,FK Haugesund,3,88.83,86
Mjondalen,11338,Mjøndalen IF,3,88.83,76
Banfield,830,CA Banfield,3,88.92,84
Salzburg,409,Red Bull Salzburg,3,88.92,64
Jerv,36224,FK Jerv,3,88.92,73
Port Vale,1211,Port Vale FC,3,88.92,86
Cesena,1429,AC Cesena,3,88.92,80
Napoli,6195,SSC Napoli,3,88.92,75
Villarreal,1050,Villarreal CF,3,88.92,87
